17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.4
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81
19,Super Mario World,SNES,1990,Platform,Nintendo,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.22
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,18.36
22,Super Mario Land,GB,1989,Platform,Nintendo,18.14
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.38
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,15.85
